# lambda_A, throughput  (3xAg mirror x optics x grism x QE)
5.675000000000000000e+03,4.945577325363574306e-01
5.700000000000000000e+03,4.962255499862691654e-01
5.725000000000000000e+03,4.978962961764217265e-01
5.750000000000000000e+03,4.995699690104328239e-01
5.775000000000000000e+03,5.012465661796770000e-01
5.800000000000000000e+03,5.029260851488965844e-01
5.825000000000000000e+03,5.046085231408444782e-01
5.850000000000000000e+03,5.062938771198826071e-01
5.875000000000000000e+03,5.079821437744755919e-01
5.900000000000000000e+03,5.096733194984990334e-01
5.925000000000000000e+03,5.113674003712842531e-01
5.950000000000000000e+03,5.130643821363147783e-01
5.975000000000000000e+03,5.147642601784812033e-01
6.000000000000000000e+03,5.164670294998026101e-01
6.025000000000000000e+03,5.165931125498746113e-01
6.050000000000000000e+03,5.167191186684391146e-01
6.075000000000000000e+03,5.168450414926211156e-01
6.100000000000000000e+03,5.169708742475371821e-01
6.125000000000000000e+03,5.170966097196361133e-01
6.150000000000000000e+03,5.172222402283218612e-01
6.175000000000000000e+03,5.173477575957365904e-01
6.200000000000000000e+03,5.174731531145955188e-01
6.225000000000000000e+03,5.175984175139407562e-01
6.250000000000000000e+03,5.177235409226833562e-01
6.275000000000000000e+03,5.178485128307906971e-01
6.300000000000000000e+03,5.179733220479665334e-01
6.325000000000000000e+03,5.180979566596630725e-01
6.350000000000000000e+03,5.182224039802522109e-01
6.375000000000000000e+03,5.183466505031760763e-01
6.400000000000000000e+03,5.184706818478768131e-01
6.425000000000000000e+03,5.185944827033056592e-01
6.450000000000000000e+03,5.187180367677849402e-01
6.475000000000000000e+03,5.188413266849941641e-01
6.500000000000000000e+03,5.189643339758254204e-01
6.525000000000000000e+03,5.190870389658492901e-01
6.550000000000000000e+03,5.192094207081059398e-01
6.575000000000000000e+03,5.193314569009198634e-01
6.600000000000000000e+03,5.194531238004268525e-01
6.625000000000000000e+03,5.195743961274645883e-01
6.650000000000000000e+03,5.196952469684766873e-01
6.675000000000000000e+03,5.198156476700380724e-01
6.700000000000000000e+03,5.199355677266026543e-01
6.725000000000000000e+03,5.200549746610333424e-01
6.750000000000000000e+03,5.201738338974616349e-01
6.775000000000000000e+03,5.202921086259811867e-01
6.800000000000000000e+03,5.204097596586626517e-01
6.825000000000000000e+03,5.205267452763330249e-01
6.850000000000000000e+03,5.206430210655359492e-01
6.875000000000000000e+03,5.207585397450532616e-01
6.900000000000000000e+03,5.208732509813199796e-01
6.925000000000000000e+03,5.209871011920408357e-01
6.950000000000000000e+03,5.211000333372542981e-01
6.975000000000000000e+03,5.212119866970623683e-01
7.000000000000000000e+03,5.213228966351818316e-01
7.025000000000000000e+03,5.208533246870453715e-01
7.050000000000000000e+03,5.203823259128893541e-01
7.075000000000000000e+03,5.199098265645807349e-01
7.100000000000000000e+03,5.194357482402500725e-01
7.125000000000000000e+03,5.189600075921971811e-01
7.150000000000000000e+03,5.184825160166972591e-01
7.175000000000000000e+03,5.180031793246211436e-01
7.200000000000000000e+03,5.175218973917140586e-01
7.225000000000000000e+03,5.170385637873180507e-01
7.250000000000000000e+03,5.165530653802555827e-01
7.275000000000000000e+03,5.160652819205141517e-01
7.300000000000000000e+03,5.155750855953107337e-01
7.325000000000000000e+03,5.150823405580250425e-01
