# lambda_A, QE  (e2v CCD + Teledyne H2RG blended by a 1.0um dichroic)
1.310000000000000000e+04,8.169814246788640322e-01
1.312500000000000000e+04,8.171693363755140327e-01
1.315000000000000000e+04,8.173559659951045164e-01
1.317500000000000000e+04,8.175413908489782555e-01
1.320000000000000000e+04,8.177256835932784629e-01
1.322500000000000000e+04,8.179089125084592071e-01
1.325000000000000000e+04,8.180911417621085091e-01
1.327500000000000000e+04,8.182724316560663347e-01
1.330000000000000000e+04,8.184528388587669623e-01
1.332500000000000000e+04,8.186324166236822464e-01
1.335000000000000000e+04,8.188112149946876750e-01
1.337500000000000000e+04,8.189892809991276001e-01
1.340000000000000000e+04,8.191666588293134987e-01
1.342500000000000000e+04,8.193433900131381620e-01
1.345000000000000000e+04,8.195195135744587356e-01
1.347500000000000000e+04,8.196950661838545704e-01
1.350000000000000000e+04,8.198700823003359783e-01
1.352500000000000000e+04,8.200445943045431285e-01
1.355000000000000000e+04,8.202186326239440106e-01
1.357500000000000000e+04,8.203922258505078613e-01
1.360000000000000000e+04,8.205654008513073583e-01
1.362500000000000000e+04,8.207381828724678030e-01
1.365000000000000000e+04,8.209105956368680790e-01
1.367500000000000000e+04,8.210826614359610920e-01
1.370000000000000000e+04,8.212544012160697404e-01
1.372500000000000000e+04,8.214258346594914828e-01
1.375000000000000000e+04,8.215969802607171468e-01
1.377500000000000000e+04,8.217678553980624079e-01
1.380000000000000000e+04,8.219384764009861621e-01
1.382500000000000000e+04,8.221088586133522558e-01
1.385000000000000000e+04,8.222790164528811507e-01
1.387500000000000000e+04,8.224489634670210103e-01
1.390000000000000000e+04,8.226187123854493688e-01
1.392500000000000000e+04,8.227882751694124419e-01
1.395000000000000000e+04,8.229576630580901497e-01
1.397500000000000000e+04,8.231268866121654870e-01
1.400000000000000000e+04,8.232959557547683271e-01
1.402500000000000000e+04,8.234648798099492017e-01
1.405000000000000000e+04,8.236336675388338247e-01
1.407500000000000000e+04,8.238023271735973596e-01
1.410000000000000000e+04,8.239708664493886614e-01
1.412500000000000000e+04,8.241392926343303893e-01
1.415000000000000000e+04,8.243076125577075697e-01
1.417500000000000000e+04,8.244758326364575174e-01
1.420000000000000000e+04,8.246439589000608139e-01
1.422500000000000000e+04,8.248119970139297097e-01
1.425000000000000000e+04,8.249799523013867653e-01
1.427500000000000000e+04,8.251478297643162207e-01
1.430000000000000000e+04,8.253156341025699172e-01
1.432500000000000000e+04,8.254833697322009334e-01
1.435000000000000000e+04,8.256510408025981018e-01
1.437500000000000000e+04,8.258186512125863521e-01
1.440000000000000000e+04,8.259862046255533885e-01
1.442500000000000000e+04,8.261537044836665400e-01
1.445000000000000000e+04,8.263211540212285211e-01
1.447500000000000000e+04,8.264885562772280592e-01
1.450000000000000000e+04,8.266559141071343486e-01
1.452500000000000000e+04,8.268232301939769657e-01
1.455000000000000000e+04,8.269905070587588725e-01
1.457500000000000000e+04,8.271577470702395907e-01
1.460000000000000000e+04,8.273249524541284039e-01
1.462500000000000000e+04,8.274921253017230027e-01
1.465000000000000000e+04,8.276592675780251041e-01
1.467500000000000000e+04,8.278263811293671282e-01
1.470000000000000000e+04,8.279934676905784663e-01
1.472500000000000000e+04,8.281605288917192054e-01
1.475000000000000000e+04,8.283275662644060677e-01
1.477500000000000000e+04,8.284945812477575444e-01
1.480000000000000000e+04,8.286615751939796493e-01
1.482500000000000000e+04,8.288285493736149423e-01
1.485000000000000000e+04,8.289955049804738074e-01
1.487500000000000000e+04,8.291624431362680792e-01
1.490000000000000000e+04,8.293293648949655594e-01
1.492500000000000000e+04,8.294962712468806343e-01
1.495000000000000000e+04,8.296631631225187542e-01
1.497500000000000000e+04,8.298300413961883226e-01
1.500000000000000000e+04,8.299969068893940927e-01
1.502500000000000000e+04,8.299970942908360128e-01
1.505000000000000000e+04,8.299972703382755279e-01
1.507500000000000000e+04,8.299974357196080454e-01
1.510000000000000000e+04,8.299975910810523105e-01
1.512500000000000000e+04,8.299977370296752754e-01
1.515000000000000000e+04,8.299978741357649792e-01
1.517500000000000000e+04,8.299980029350579880e-01
1.520000000000000000e+04,8.299981239308326098e-01
1.522500000000000000e+04,8.299982375958762093e-01
1.525000000000000000e+04,8.299983443743310652e-01
1.527500000000000000e+04,8.299984446834315355e-01
1.530000000000000000e+04,8.299985389151328663e-01
1.532500000000000000e+04,8.299986274376436324e-01
1.535000000000000000e+04,8.299987105968635870e-01
1.537500000000000000e+04,8.299987887177364687e-01
1.540000000000000000e+04,8.299988621055182092e-01
1.542500000000000000e+04,8.299989310469709780e-01
1.545000000000000000e+04,8.299989958114826205e-01
1.547500000000000000e+04,8.299990566521200375e-01
1.550000000000000000e+04,8.299991138066177276e-01
1.552500000000000000e+04,8.299991674983067114e-01
1.555000000000000000e+04,8.299992179369870549e-01
1.557500000000000000e+04,8.299992653197476589e-01
1.560000000000000000e+04,8.299993098317369755e-01
1.562500000000000000e+04,8.299993516468855415e-01
1.565000000000000000e+04,8.299993909285861005e-01
1.567500000000000000e+04,8.299994278303320927e-01
1.570000000000000000e+04,8.299994624963173973e-01
1.572500000000000000e+04,8.299994950619995482e-01
1.575000000000000000e+04,8.299995256546289779e-01
1.577500000000000000e+04,8.299995543937466191e-01
1.580000000000000000e+04,8.299995813916511977e-01
1.582500000000000000e+04,8.299996067538368827e-01
1.585000000000000000e+04,8.299996305794068441e-01
1.587500000000000000e+04,8.299996529614597218e-01
1.590000000000000000e+04,8.299996739874537788e-01
1.592500000000000000e+04,8.299996937395480723e-01
1.595000000000000000e+04,8.299997122949245298e-01
1.597500000000000000e+04,8.299997297260881535e-01
1.600000000000000000e+04,8.299997461011516808e-01
1.602500000000000000e+04,8.299997614841008176e-01
1.605000000000000000e+04,8.299997759350447035e-01
1.607500000000000000e+04,8.299997895104506140e-01
1.610000000000000000e+04,8.299998022633646722e-01
1.612500000000000000e+04,8.299998142436191273e-01
1.615000000000000000e+04,8.299998254980269774e-01
1.617500000000000000e+04,8.299998360705649336e-01
1.620000000000000000e+04,8.299998460025453939e-01
1.622500000000000000e+04,8.299998553327778694e-01
1.625000000000000000e+04,8.299998640977203079e-01
1.627500000000000000e+04,8.299998723316219795e-01
1.630000000000000000e+04,8.299998800666568144e-01
1.632500000000000000e+04,8.299998873330497462e-01
1.635000000000000000e+04,8.299998941591943957e-01
1.637500000000000000e+04,8.299999005717638711e-01
1.640000000000000000e+04,8.299999065958154620e-01
1.642500000000000000e+04,8.299999122548882280e-01
1.645000000000000000e+04,8.299999175710952581e-01
1.647500000000000000e+04,8.299999225652097135e-01
1.650000000000000000e+04,8.299999272567459840e-01
1.652500000000000000e+04,8.299999316640366276e-01
1.655000000000000000e+04,8.299999358043030906e-01
1.657500000000000000e+04,8.299999396937234319e-01
1.660000000000000000e+04,8.299999433474958277e-01
1.662500000000000000e+04,8.299999467798971908e-01
1.665000000000000000e+04,8.299999500043400147e-01
1.667500000000000000e+04,8.299999530334237763e-01
1.670000000000000000e+04,8.299999558789846743e-01
1.672500000000000000e+04,8.299999585521417034e-01
1.675000000000000000e+04,8.299999610633403968e-01
1.677500000000000000e+04,8.299999634223932388e-01
1.680000000000000000e+04,8.299999656385183000e-01
1.682500000000000000e+04,8.299999677203752091e-01
1.685000000000000000e+04,8.299999696760986811e-01
1.687500000000000000e+04,8.299999715133309364e-01
1.690000000000000000e+04,8.299999732392508989e-01
1.692500000000000000e+04,8.299999748606027294e-01
1.695000000000000000e+04,8.299999763837218048e-01
1.697500000000000000e+04,8.299999778145595863e-01
1.700000000000000000e+04,8.299999791587074904e-01
1.702500000000000000e+04,8.299999804214175381e-01
1.705000000000000000e+04,8.299999816076237824e-01
1.707500000000000000e+04,8.299999827219615156e-01
1.710000000000000000e+04,8.299999837687849213e-01
1.712500000000000000e+04,8.299999847521845053e-01
1.715000000000000000e+04,8.299999856760029715e-01
1.717500000000000000e+04,8.299999865438500990e-01
1.720000000000000000e+04,8.299999873591169530e-01
1.722500000000000000e+04,8.299999881249893185e-01
1.725000000000000000e+04,8.299999888444598017e-01
1.727500000000000000e+04,8.299999895203398204e-01
1.730000000000000000e+04,8.299999901552702619e-01
1.732500000000000000e+04,8.299999907517322528e-01
1.735000000000000000e+04,8.299999913120564843e-01
1.737500000000000000e+04,8.299999918384324271e-01
1.740000000000000000e+04,8.299999923329167695e-01
1.742500000000000000e+04,8.299999927974418545e-01
1.745000000000000000e+04,8.299999932338228970e-01
1.747500000000000000e+04,8.299999936437647552e-01
1.750000000000000000e+04,8.299999940288694811e-01
1.752500000000000000e+04,8.299999943906420929e-01
1.755000000000000000e+04,8.299999947304957937e-01
1.757500000000000000e+04,8.299999950497589651e-01
1.760000000000000000e+04,8.299999953496789429e-01
1.762500000000000000e+04,8.299999956314275673e-01
1.765000000000000000e+04,8.299999958961060686e-01
1.767500000000000000e+04,8.299999961447483976e-01
1.770000000000000000e+04,8.299999963783263324e-01
1.772500000000000000e+04,8.299999965977523653e-01
