fov_deg2,visits,time_fraction,latitude_limit_deg,coverage_per_13d,d30_50_cataloged,d30_50_new,d50_140_cataloged,d50_140_new,d140_1000_cataloged,d140_1000_new,d1000_3001_cataloged,d1000_3001_new,d140plus_cataloged,d140plus_new,d140plus_completeness
0.25,4,0.25,20,0.009340321683321358,186.2677442259679,180.67971189918885,90.31273666302981,81.28146299672682,44.82661923996473,27.79250392877813,2.5088680984967935,0.1254434049248398,47.33548733846152,27.917947333702973,0.002403548661443156
0.25,4,1.0,20,0.03736128673328543,2941.160229712096,2852.925422820733,1420.2454358782884,1278.2208922904597,698.7539827515436,433.227469305957,38.84836353898727,1.9424181769493654,737.6023462905309,435.16988748290635,0.03745315051744343
0.25,4,0.25,40,0.004878668545866606,77.72234771207435,75.39067728071213,35.93064150485059,32.337577354365536,16.922712974018072,10.492082043891203,0.9679878340409407,0.04839939170204707,17.890700808059012,10.54048143559325,0.0009084340818553372
0.25,4,1.0,40,0.019514674183466425,1237.7647954662411,1200.6318516022538,571.5010609181709,514.3509548263537,268.53918071463045,166.49429204307086,15.329771446814284,0.7664885723407149,283.8689521614447,167.2607806154116,0.014413981525411025
1.0,4,1.0,40,0.0780586967338657,18416.655152577052,17864.155497999738,8342.032663833768,7507.829397450393,3781.630492710967,2344.6109054807994,209.33080178573817,10.466540089286916,3990.961294496705,2355.0774455700866,0.20264858812311895
4.0,4,1.0,40,0.3122347869354628,130993.47934485486,127063.67496450922,50026.510012626546,45023.85901136389,16952.66147382832,10510.65011377356,751.2967014047292,37.5648350702365,17703.95817523305,10548.214948843795,0.898951872409518
11.9,4,1.0,40,0.9288984911330018,184784.8108698462,179241.26654375077,62076.621277947714,55868.95915015295,18385.253582238198,11398.857220987684,780.6073989579768,39.030369947898876,19165.860981196176,11437.887590935585,0.9731827450592148
0.25,2,1.0,40,0.03902934836693285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,4,1.0,40,0.019514674183466425,1237.7647954662411,1200.6318516022538,571.5010609181709,514.3509548263537,268.53918071463045,166.49429204307086,15.329771446814284,0.7664885723407149,283.8689521614447,167.2607806154116,0.014413981525411025
0.25,6,1.0,40,0.013009782788977617,557.2145681104719,540.4981310671577,257.46522432425434,231.71870189182889,121.14482680362985,75.10979261825051,6.923805782965471,0.3461902891482739,128.06863258659533,75.45598290739878,0.00650292640330026
