mission_week,mission_year,week_of_year,calendar_start,appendix,program,key_science_row,target,hours,weekly_wall_fraction,allocation_type,visibility_fraction
245,5,37,2034-09-10,A,Imaging-only wide extension,Deep / imaging calibration,South Galactic pole,24.0,0.14285714285714285,continuous LP,1.0
245,5,37,2034-09-10,A,Ultra-deep imaging fields,Deep / imaging calibration,Ultra-deep south,20.0,0.11904761904761904,continuous LP,1.0
245,5,37,2034-09-10,B,Giant orbit determination,Exoplanet giants / disks,HD 219134 h,14.814814814814815,0.08818342151675485,target-visit MILP,1.0
245,5,37,2034-09-10,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
245,5,37,2034-09-10,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
245,5,37,2034-09-10,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
245,5,37,2034-09-10,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
245,5,37,2034-09-10,A,Pathfinders and contingency,Quasar / ancillary,Flexible target list,14.0,0.08333333333333333,continuous LP,1.0
245,5,37,2034-09-10,A,SN Ia time-domain cadence,SN Ia time domain,SN south,2.0,0.011904761904761904,cadence baseline,1.0
245,5,37,2034-09-10,A,SN Ia time-domain field,SN Ia time domain,SN south,14.0,0.08333333333333333,continuous LP,1.0
246,5,38,2034-09-17,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
246,5,38,2034-09-17,A,Imaging-only wide extension,Deep / imaging calibration,South Galactic pole,24.0,0.14285714285714285,continuous LP,1.0
246,5,38,2034-09-17,A,Ultra-deep imaging fields,Deep / imaging calibration,Ultra-deep south,20.0,0.11904761904761904,continuous LP,1.0
246,5,38,2034-09-17,B,Mature-giant search program,Exoplanet giants / disks,HD 172051,13.986013986013987,0.08325008325008325,target-visit MILP,1.0
246,5,38,2034-09-17,B,Mature-giant search program,Exoplanet giants / disks,eps Ind,13.986013986013987,0.08325008325008325,target-visit MILP,1.0
246,5,38,2034-09-17,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
246,5,38,2034-09-17,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
246,5,38,2034-09-17,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
246,5,38,2034-09-17,OPS,L2 station keeping,Observatory maintenance / overhead,Spacecraft orbit,2.0,0.011904761904761904,maintenance,1.0
246,5,38,2034-09-17,OPS,Momentum unload,Observatory maintenance / overhead,Reaction wheels,3.0,0.017857142857142856,maintenance,1.0
246,5,38,2034-09-17,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
246,5,38,2034-09-17,A,Pathfinders and contingency,Quasar / ancillary,Flexible target list,14.0,0.08333333333333333,continuous LP,1.0
246,5,38,2034-09-17,A,SN Ia time-domain cadence,SN Ia time domain,SN south,2.0,0.011904761904761904,cadence baseline,1.0
246,5,38,2034-09-17,A,SN Ia time-domain field,SN Ia time domain,SN south,14.0,0.08333333333333333,continuous LP,1.0
247,5,39,2034-09-24,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
247,5,39,2034-09-24,B,Mature-giant search program,Exoplanet giants / disks,HD 170657,13.986013986013987,0.08325008325008325,target-visit MILP,1.0
247,5,39,2034-09-24,B,Mature-giant search program,Exoplanet giants / disks,HD 217357,13.986013986013987,0.08325008325008325,target-visit MILP,1.0
247,5,39,2034-09-24,B,Mature-giant search program,Exoplanet giants / disks,HD 22496,13.986013986013987,0.08325008325008325,target-visit MILP,1.0
247,5,39,2034-09-24,B,Mature-giant search program,Exoplanet giants / disks,zet01 Ret,13.986013986013987,0.08325008325008325,target-visit MILP,1.0
247,5,39,2034-09-24,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
247,5,39,2034-09-24,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
247,5,39,2034-09-24,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
247,5,39,2034-09-24,OPS,Quarterly calibration block,Observatory maintenance / overhead,Instruments and reference fields,24.0,0.14285714285714285,maintenance,1.0
247,5,39,2034-09-24,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
247,5,39,2034-09-24,A,Quasar and reionization targets,Quasar / ancillary,Flexible target list,18.0,0.10714285714285714,continuous LP,1.0
247,5,39,2034-09-24,A,SN Ia time-domain cadence,SN Ia time domain,SN south,2.0,0.011904761904761904,cadence baseline,1.0
247,5,39,2034-09-24,A,SN Ia time-domain field,SN Ia time domain,SN south,14.0,0.08333333333333333,continuous LP,1.0
248,5,40,2034-10-01,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
248,5,40,2034-10-01,A,Imaging-only wide extension,Deep / imaging calibration,South Galactic pole,24.0,0.14285714285714285,continuous LP,1.0
248,5,40,2034-10-01,A,Ultra-deep imaging fields,Deep / imaging calibration,Ultra-deep south,20.0,0.11904761904761904,continuous LP,1.0
248,5,40,2034-10-01,B,Mature-giant search program,Exoplanet giants / disks,HD 14412,13.986013986013987,0.08325008325008325,target-visit MILP,1.0
248,5,40,2034-10-01,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
248,5,40,2034-10-01,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
248,5,40,2034-10-01,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
248,5,40,2034-10-01,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
248,5,40,2034-10-01,A,Pathfinders and contingency,Quasar / ancillary,Flexible target list,14.0,0.08333333333333333,continuous LP,1.0
248,5,40,2034-10-01,A,SN Ia time-domain cadence,SN Ia time domain,SN south,2.0,0.011904761904761904,cadence baseline,1.0
248,5,40,2034-10-01,A,SN Ia time-domain field,SN Ia time domain,SN south,14.0,0.08333333333333333,continuous LP,1.0
249,5,41,2034-10-08,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
249,5,41,2034-10-08,A,Imaging-only wide extension,Deep / imaging calibration,South Galactic pole,24.0,0.14285714285714285,continuous LP,1.0
249,5,41,2034-10-08,A,Ultra-deep imaging fields,Deep / imaging calibration,Ultra-deep south,20.0,0.11904761904761904,continuous LP,1.0
249,5,41,2034-10-08,B,Mature-giant search program,Exoplanet giants / disks,HD 188088,13.986013986013987,0.08325008325008325,target-visit MILP,1.0
249,5,41,2034-10-08,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
249,5,41,2034-10-08,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
249,5,41,2034-10-08,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
249,5,41,2034-10-08,OPS,L2 station keeping,Observatory maintenance / overhead,Spacecraft orbit,2.0,0.011904761904761904,maintenance,1.0
249,5,41,2034-10-08,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
249,5,41,2034-10-08,A,Pathfinders and contingency,Quasar / ancillary,Flexible target list,14.0,0.08333333333333333,continuous LP,1.0
