mission_week,mission_year,week_of_year,calendar_start,appendix,program,key_science_row,target,hours,weekly_wall_fraction,allocation_type,visibility_fraction
221,5,13,2034-03-26,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
221,5,13,2034-03-26,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
221,5,13,2034-03-26,OPS,Quarterly calibration block,Observatory maintenance / overhead,Instruments and reference fields,24.0,0.14285714285714285,maintenance,1.0
221,5,13,2034-03-26,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
221,5,13,2034-03-26,A,Quasar and reionization targets,Quasar / ancillary,Flexible target list,18.0,0.10714285714285714,continuous LP,1.0
221,5,13,2034-03-26,A,SN Ia time-domain cadence,SN Ia time domain,SN north,2.0,0.011904761904761904,cadence baseline,1.0
221,5,13,2034-03-26,A,SN Ia time-domain field,SN Ia time domain,SN north,14.0,0.08333333333333333,continuous LP,1.0
222,5,14,2034-04-02,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
222,5,14,2034-04-02,A,Imaging-only wide extension,Deep / imaging calibration,Lockman north,24.0,0.14285714285714285,continuous LP,1.0
222,5,14,2034-04-02,B,Mature-giant search program,Exoplanet giants / disks,BD-08 2582,13.986013986013987,0.08325008325008325,target-visit MILP,1.0
222,5,14,2034-04-02,B,Mature-giant search program,Exoplanet giants / disks,HD 97101,13.986013986013987,0.08325008325008325,target-visit MILP,1.0
222,5,14,2034-04-02,B,Mature-giant search program,Exoplanet giants / disks,pi.01 UMa,13.986013986013987,0.08325008325008325,target-visit MILP,1.0
222,5,14,2034-04-02,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
222,5,14,2034-04-02,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
222,5,14,2034-04-02,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
222,5,14,2034-04-02,OPS,L2 station keeping,Observatory maintenance / overhead,Spacecraft orbit,2.0,0.011904761904761904,maintenance,1.0
222,5,14,2034-04-02,OPS,Momentum unload,Observatory maintenance / overhead,Reaction wheels,3.0,0.017857142857142856,maintenance,1.0
222,5,14,2034-04-02,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
222,5,14,2034-04-02,A,Pathfinders and contingency,Quasar / ancillary,Flexible target list,14.0,0.08333333333333333,continuous LP,1.0
222,5,14,2034-04-02,A,SN Ia time-domain cadence,SN Ia time domain,SN north,2.0,0.011904761904761904,cadence baseline,1.0
222,5,14,2034-04-02,A,SN Ia time-domain field,SN Ia time domain,SN north,14.0,0.08333333333333333,continuous LP,1.0
223,5,15,2034-04-09,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
223,5,15,2034-04-09,A,Imaging-only wide extension,Deep / imaging calibration,Lockman north,24.0,0.14285714285714285,continuous LP,1.0
223,5,15,2034-04-09,B,Mature-giant search program,Exoplanet giants / disks,HD 128165,13.986013986013987,0.08325008325008325,target-visit MILP,1.0
223,5,15,2034-04-09,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
223,5,15,2034-04-09,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
223,5,15,2034-04-09,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
223,5,15,2034-04-09,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
223,5,15,2034-04-09,A,Pathfinders and contingency,Quasar / ancillary,Flexible target list,14.0,0.08333333333333333,continuous LP,1.0
223,5,15,2034-04-09,A,SN Ia time-domain cadence,SN Ia time domain,SN north,2.0,0.011904761904761904,cadence baseline,1.0
223,5,15,2034-04-09,A,SN Ia time-domain field,SN Ia time domain,SN north,14.0,0.08333333333333333,continuous LP,1.0
224,5,16,2034-04-16,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
224,5,16,2034-04-16,A,Imaging-only wide extension,Deep / imaging calibration,Lockman north,24.0,0.14285714285714285,continuous LP,1.0
224,5,16,2034-04-16,A,Ultra-deep imaging fields,Deep / imaging calibration,Ultra-deep north,5.0,0.02976190476190476,continuous LP,1.0
224,5,16,2034-04-16,B,Giant orbit determination,Exoplanet giants / disks,HD 147513 b,14.814814814814815,0.08818342151675485,target-visit MILP,1.0
224,5,16,2034-04-16,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
224,5,16,2034-04-16,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
224,5,16,2034-04-16,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
224,5,16,2034-04-16,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
224,5,16,2034-04-16,A,Pathfinders and contingency,Quasar / ancillary,Flexible target list,14.0,0.08333333333333333,continuous LP,1.0
224,5,16,2034-04-16,A,SN Ia time-domain cadence,SN Ia time domain,SN north,2.0,0.011904761904761904,cadence baseline,1.0
224,5,16,2034-04-16,A,SN Ia time-domain field,SN Ia time domain,SN north,14.0,0.08333333333333333,continuous LP,1.0
225,5,17,2034-04-23,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
225,5,17,2034-04-23,A,Imaging-only wide extension,Deep / imaging calibration,Lockman north,24.0,0.14285714285714285,continuous LP,1.0
225,5,17,2034-04-23,A,Ultra-deep imaging fields,Deep / imaging calibration,Ultra-deep north,20.0,0.11904761904761904,continuous LP,1.0
225,5,17,2034-04-23,B,Giant orbit determination,Exoplanet giants / disks,47 UMa b,14.814814814814815,0.08818342151675485,target-visit MILP,1.0
225,5,17,2034-04-23,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
225,5,17,2034-04-23,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
225,5,17,2034-04-23,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
225,5,17,2034-04-23,OPS,L2 station keeping,Observatory maintenance / overhead,Spacecraft orbit,2.0,0.011904761904761904,maintenance,1.0
225,5,17,2034-04-23,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
225,5,17,2034-04-23,A,Pathfinders and contingency,Quasar / ancillary,Flexible target list,14.0,0.08333333333333333,continuous LP,1.0
225,5,17,2034-04-23,A,SN Ia time-domain cadence,SN Ia time domain,SN north,2.0,0.011904761904761904,cadence baseline,1.0
