# lambda_A, throughput  (3xAg mirror x optics x QE, no grism)
3.400000000000000000e+03,1.213009517204781257e-01
3.425000000000000000e+03,1.297100999505015340e-01
3.450000000000000000e+03,1.383724432976914387e-01
3.475000000000000000e+03,1.472922552480614156e-01
3.500000000000000000e+03,1.564738422862440304e-01
3.525000000000000000e+03,1.659215438953600408e-01
3.550000000000000000e+03,1.756397325568768153e-01
3.575000000000000000e+03,1.856328137504533182e-01
3.600000000000000000e+03,1.959052259537711338e-01
3.625000000000000000e+03,2.089532166501026633e-01
3.650000000000000000e+03,2.223764347427662214e-01
3.675000000000000000e+03,2.361809249712643055e-01
3.700000000000000000e+03,2.503727766216283235e-01
3.725000000000000000e+03,2.649581235260944911e-01
3.750000000000000000e+03,2.799431440627498380e-01
3.775000000000000000e+03,2.953340611551468209e-01
3.800000000000000000e+03,3.111371422718833823e-01
3.825000000000000000e+03,3.242680005025366241e-01
3.850000000000000000e+03,3.375652250655876152e-01
3.875000000000000000e+03,3.510299510219820340e-01
3.900000000000000000e+03,3.646633169347962555e-01
3.925000000000000000e+03,3.784664648688434996e-01
3.950000000000000000e+03,3.924405403902483380e-01
3.975000000000000000e+03,4.065866925659868403e-01
4.000000000000000000e+03,4.209060739633888604e-01
4.025000000000000000e+03,4.277942300867323966e-01
4.050000000000000000e+03,4.347513110648097423e-01
4.075000000000000000e+03,4.417777344053864241e-01
4.100000000000000000e+03,4.488739188058841756e-01
4.125000000000000000e+03,4.560402841529723750e-01
4.150000000000000000e+03,4.632772515221285636e-01
4.175000000000000000e+03,4.705852431771646582e-01
4.200000000000000000e+03,4.779646825697170254e-01
4.225000000000000000e+03,4.854159943386986420e-01
4.250000000000000000e+03,4.929396043097077351e-01
4.275000000000000000e+03,5.005359394943913465e-01
4.300000000000000000e+03,5.082054280897613241e-01
4.325000000000000000e+03,5.159484994774576894e-01
4.350000000000000000e+03,5.237655842229543834e-01
4.375000000000000000e+03,5.316571140747060609e-01
4.400000000000000000e+03,5.396235219632290470e-01
4.425000000000000000e+03,5.476652420001122401e-01
4.450000000000000000e+03,5.557827094769529630e-01
4.475000000000000000e+03,5.639763608642103243e-01
4.500000000000000000e+03,5.722466338099742034e-01
4.525000000000000000e+03,5.780761051231335657e-01
4.550000000000000000e+03,5.839287043265491972e-01
4.575000000000000000e+03,5.898044820654169129e-01
4.600000000000000000e+03,5.957034890177689279e-01
4.625000000000000000e+03,6.016257758931407018e-01
4.650000000000000000e+03,6.075713934311430808e-01
4.675000000000000000e+03,6.135403923999305231e-01
4.700000000000000000e+03,6.195328235945585238e-01
4.725000000000000000e+03,6.255487378352257988e-01
4.750000000000000000e+03,6.315881859653856845e-01
4.775000000000000000e+03,6.376512188497260869e-01
4.800000000000000000e+03,6.437378873720026595e-01
4.825000000000000000e+03,6.498482424327146623e-01
4.850000000000000000e+03,6.559823349466163966e-01
4.875000000000000000e+03,6.621402158400502280e-01
4.900000000000000000e+03,6.683219360480854299e-01
4.925000000000000000e+03,6.745275465114550784e-01
4.950000000000000000e+03,6.807570981732716797e-01
4.975000000000000000e+03,6.870106419755070970e-01
5.000000000000000000e+03,6.932882288552226768e-01
5.025000000000000000e+03,6.943966210924722438e-01
5.050000000000000000e+03,6.955052710672995353e-01
5.075000000000000000e+03,6.966141780653658522e-01
5.100000000000000000e+03,6.977233413228877135e-01
5.125000000000000000e+03,6.988327600233724679e-01
5.150000000000000000e+03,6.999424332941344140e-01
5.175000000000000000e+03,7.010523602025862111e-01
5.200000000000000000e+03,7.021625397522788248e-01
5.225000000000000000e+03,7.032729708786871203e-01
5.250000000000000000e+03,7.043836524447113501e-01
5.275000000000000000e+03,7.054945832358859859e-01
5.300000000000000000e+03,7.066057619552691405e-01
5.325000000000000000e+03,7.077171872179965906e-01
5.350000000000000000e+03,7.088288575454765317e-01
5.375000000000000000e+03,7.099407713591991964e-01
5.400000000000000000e+03,7.110529269741405756e-01
5.425000000000000000e+03,7.121653225917290442e-01
5.450000000000000000e+03,7.132779562923485805e-01
5.475000000000000000e+03,7.143908260273467148e-01
5.500000000000000000e+03,7.155039296105167868e-01
5.525000000000000000e+03,7.166172647090152115e-01
5.550000000000000000e+03,7.177308288336838871e-01
5.575000000000000000e+03,7.188446193287292285e-01
5.600000000000000000e+03,7.199586333607241873e-01
5.625000000000000000e+03,7.210728679068835190e-01
5.650000000000000000e+03,7.221873197425641155e-01
5.675000000000000000e+03,7.233019854279451044e-01
5.700000000000000000e+03,7.244168612938235441e-01
5.725000000000000000e+03,7.255319434264798639e-01
5.750000000000000000e+03,7.266472276515386630e-01
5.775000000000000000e+03,7.277627095167723548e-01
5.800000000000000000e+03,7.288783842737632801e-01
5.825000000000000000e+03,7.299942468583645594e-01
5.850000000000000000e+03,7.311102918698666464e-01
5.875000000000000000e+03,7.322265135487937560e-01
5.900000000000000000e+03,7.333429057532359074e-01
5.925000000000000000e+03,7.344594619336219932e-01
5.950000000000000000e+03,7.355761751058276232e-01
5.975000000000000000e+03,7.366930378225132747e-01
6.000000000000000000e+03,7.378100421425752842e-01
6.025000000000000000e+03,7.379023152718123812e-01
6.050000000000000000e+03,7.379944565604938944e-01
6.075000000000000000e+03,7.380864569691127919e-01
6.100000000000000000e+03,7.381783068741606391e-01
6.125000000000000000e+03,7.382699960304145437e-01
6.150000000000000000e+03,7.383615135307950439e-01
6.175000000000000000e+03,7.384528477636301824e-01
6.200000000000000000e+03,7.385439863671677818e-01
6.225000000000000000e+03,7.386349161811499586e-01
6.250000000000000000e+03,7.387256231952675778e-01
6.275000000000000000e+03,7.388160924942919205e-01
6.300000000000000000e+03,7.389063081996669613e-01
6.325000000000000000e+03,7.389962534073407641e-01
6.350000000000000000e+03,7.390859101215863092e-01
6.375000000000000000e+03,7.391752591845649478e-01
6.400000000000000000e+03,7.392642802013452696e-01
6.425000000000000000e+03,7.393529514601008268e-01
6.450000000000000000e+03,7.394412498471631956e-01
6.475000000000000000e+03,7.395291507566135181e-01
6.500000000000000000e+03,7.396166279940505905e-01
6.525000000000000000e+03,7.397036536741707913e-01
6.550000000000000000e+03,7.397901981117633863e-01
6.575000000000000000e+03,7.398762297056914461e-01
6.600000000000000000e+03,7.399617148154229440e-01
6.625000000000000000e+03,7.400466176296232046e-01
6.650000000000000000e+03,7.401309000263138760e-01
6.675000000000000000e+03,7.402145214240486437e-01
6.700000000000000000e+03,7.402974386235444682e-01
6.725000000000000000e+03,7.403796056391507285e-01
6.750000000000000000e+03,7.404609735195184506e-01
6.775000000000000000e+03,7.405414901567755059e-01
6.800000000000000000e+03,7.406211000834858060e-01
6.825000000000000000e+03,7.406997442566104484e-01
6.850000000000000000e+03,7.407773598276538030e-01
6.875000000000000000e+03,7.408538798981195717e-01
6.900000000000000000e+03,7.409292332593456765e-01
6.925000000000000000e+03,7.410033441157390932e-01
